UID,image,Name,Link,Manu,submanu
الحضانة,Homepage_Images/543533.image.093403.jpg,الحضانة,الحضانة,home page,
48648,Homepage_Images/48648.image.093950.jpg,الايتام,الايتام,home page,
56876,Homepage_Images/56876.image.093414.png,الحالات المرضية,الحالات المرضية,home page,
781566,Homepage_Images/781566.image.094302.jpg,الحالات الفقيرة,الحالات الفقيرة,home page,
841682,Homepage_Images/841682.image.082735.jpg,الحضور والانصراف,الحضور والانصراف,home page,
538237.5,Homepage_Images/538237.5.image.114826.jpg,حجز الحضانة,حجز الحضانة,,Nursery
610470.2,Homepage_Images/610470.2.image.114701.jpg,الطلبة ,الطلبة ,,Nursery
682702.9,Homepage_Images/682702.9.image.204006.jpg,تقييم المعلمات,تقييم المعلمات,,Nursery
6827546,Homepage_Images/6827546.image.071555.png,قياس الأداء,قياس الأداء,,Nursery
754935.6,Homepage_Images/754935.6.image.203347.jpg,تسجيلات الاباء ,تسجيلات الاباء ,,Nursery
87461,,جدول الحصص,جدول الحصص,,Nursery
358416,,جدول التعليمات,جدول التعليمات,,Nursery
183535,,الخطة الدراسية,الخطة الدراسية,,Nursery
